Blog	dirty	dogs	teacher	direction	chose	legs	garden	co	ball	taught	apart	dropped	k	previous	message	beauty	lines	english	november	thanksgiving	wet	flying	facebook	steps	hello	angel	towards	famous	stood	expected	mess	worst	system	celebrate	hell	teeth	practice	chicken	broke	grand	wind	unfortunately	sea	december	blood	y	program	sugar	nearly	holy	reality	parking	discovered	pack	north	absolutely	posts	section	article	herself	doctor	cross	gold	mix	lake	travel	inspired	focus	meaning	machine	buying	ladies	nose	teach	doors	visiting	latest	common	hospital	river	sale	everybody	bear	windows	l	cup	mood	bird	speed	seconds	island	board	changing	easily	brothers	lessons	screen	managed	brings	faces	sky	fix	runs	obviously	key	include	babies	agree	cd	throughout	series	race	la	player	asleep	based	actual	consider	animals	shut	literally	bottle	blow	likely	tiny	shape	possibly	checking	hadn	pre	build	available	radio	ate	falling	plays	nature	crowd	row	cards	adventure	copy	birth	relationship	charge	heat	comfortable	gifts	checked	basically	creative	slightly	scary	interest	familiar	online	beyond	presents	suppose	remembered	roll	clock	sell	horse	success	laid	weight	doubt	allow	blogs	cried	example	magic	south	soft	hungry	ya	wanting	push	reminds	bathroom	hearts	million	breath	clearly	official	candy	passing	cars	price	whose	v	pray	result	paying	saved	fat	ticket	whom	forgotten	lie	library	journey	strength	dr	points	tea	breaking	joined	ends	handle	perfectly	attempt	f	brand	notes	tour	storm	families	ups	drinking	member	regular	fashion	gas	goal	hole	seat	uncle	fighting	signs	bath	okay	classic	effort	pair	september	promised	grateful	advice	plenty	february	training	involved	schedule	harder	ending	younger	address	riding	easter	dressed	faster	cheap	sold	community	santa	results	kiss	according	boring	reminded	artist	lesson	willing	van	truck	america	sisters	catching	flat	issue	evil	concert	describe	halloween	contact	challenge	collection	items	freedom	film	prepared	barely	heads	kill	anniversary	whenever	james	content	background	disappointed	mountain	grandma	sang	sand	aunt	sometime	flight	swing	sight	jesus	spread	hall	till	nervous	orange	camp	angry	shall	bike	extremely	fans	purpose	holidays	lord	release	rolling	continued	terrible	nap	progress	comfort	nobody	helps	cost	nor	grew	fantastic	numbers	w	de	milk	wise	response	falls	sharing	raise	officially	becoming	certainly	j	mid	plane	moon	throwing	grade	otherwise	excuse	master	swimming	letters	yours	heading	impossible	addition	picking	walls	hardly	daddy	guest	interview	rocks	remind	besides	character	tall	account	smell	social	calm	bags	ring	image	faith	paint	greatest	health	folks	waste	lay	wide	tag	pants	bringing	laughed	period	term	states	bill	per	national	shower	review	album	blame	mini	opinion	bedroom	rule	plastic	edge	rich	houses	michael	hide	effect	wash	unique	animal	finishing	airport	pleasure	eve	listened	ear	emotional	classes	midnight	pages	force	fellow	text	york	apple	traffic	shared	quote	jack	yard	joke	finger	kinds	yellow	ah	accept	birds	pure	serve	invited	subject	aside	mirror	normally	currently	garage	block	cheese	compared	goodbye	clouds	grass	pics	leg	blast	offered	bored	shoot	honestly	delicious	happiness	related	student	forced	jumped	meal	via	draw	upset	signed	lyrics	french	stomach	excitement	discussion	pulling	position	expensive	knowledge	bet	apartment	hi	neither	students	path	enter	reached	painting	loose	among	credit	blessed	obvious	visited	healthy	east	projects	receive	generally	flower	various
ACK!  THBBBT!	1	4	0	1	3	6	8	14	2	1	0	1	2	0	1	1	2	4	2	5	0	1	27	1	6	0	0	3	2	4	2	1	0	2	5	3	3	10	1	3	0	0	1	2	2	6	2	4	3	2	1	4	2	3	0	1	5	0	1	5	6	0	0	1	6	6	3	2	3	0	2	10	3	2	3	5	0	1	10	0	8	3	3	7	0	1	0	3	1	2	0	2	4	3	1	0	2	1	2	1	1	2	3	2	3	2	0	1	1	1	1	0	0	0	6	0	1	4	3	3	1	0	3	4	4	1	3	1	4	4	0	3	31	5	1	0	0	1	1	4	0	7	1	1	1	2	3	2	2	1	0	5	1	4	5	1	1	0	4	2	6	5	7	0	1	0	0	1	1	4	1	1	2	1	1	5	6	1	3	3	9	0	0	3	5	1	5	2	1	3	2	1	1	0	1	2	2	1	2	3	2	2	0	1	0	2	1	2	0	0	1	1	1	1	3	2	0	0	0	3	0	4	6	0	2	1	3	4	2	3	2	0	26	0	0	2	1	4	0	1	0	1	4	1	1	0	2	69	3	2	2	4	0	3	1	5	1	1	3	1	1	2	1	0	1	3	6	2	4	0	0	0	3	1	2	1	1	0	2	12	0	2	2	2	0	1	1	4	2	0	1	2	0	1	2	2	0	4	0	0	0	0	0	1	2	0	2	6	7	4	1	0	1	2	0	0	0	0	2	0	1	2	4	3	1	1	1	6	0	3	1	1	10	0	4	1	2	2	0	0	1	1	2	2	5	5	2	5	5	2	1	3	3	1	1	2	3	1	0	1	1	2	1	1	4	0	2	8	1	1	0	14	0	4	0	2	0	1	9	6	1	5	4	8	0	1	0	0	1	9	0	0	3	13	1	1	0	0	1	2	7	1	2	1	1	2	1	3	0	2	2	1	0	4	2	0	0	0	0	0	0	1	0	1	0	2	4	2	0	4	3	2	1	3	2	1	1	1	1	2	4	3	1	3	2	1	4	5	0	0	0	3	2	1	0	2	2	1	3	5	2	2	1	0	1	2	0	0	5	0	4	2	0	0	1	3	0	1	0	0	0	3	1	0	0	1	5	0	1	0	1	1	3	0	1	0	3	2	1	1	0
The Rediscovered Country	5	5	2	3	7	4	9	3	5	5	4	1	2	2	7	16	18	47	1	0	2	4	2	4	1	3	21	8	0	5	2	5	13	1	9	3	7	1	2	7	5	6	13	3	8	6	1	0	4	3	9	0	2	0	7	1	2	3	11	27	5	5	11	4	0	10	8	16	20	2	3	1	2	13	2	4	3	11	0	4	0	1	14	0	5	0	3	4	3	1	7	0	6	14	5	0	8	1	5	7	5	1	7	12	1	7	2	3	0	1	35	7	6	1	0	12	9	7	25	1	5	0	0	7	4	7	7	0	4	9	7	2	3	0	5	122	45	3	0	1	2	6	1	21	2	2	1	2	0	19	3	3	9	11	6	2	5	2	1	3	0	1	10	7	3	3	4	5	6	0	1	14	50	2	1	3	9	0	2	6	0	4	3	1	10	0	1	1	1	2	49	9	1	3	2	4	5	1	18	0	3	6	7	4	2	15	1	3	1	13	0	4	6	4	0	13	3	0	3	0	1	3	3	4	0	8	4	5	5	7	5	3	19	8	4	1	0	2	2	2	1	2	4	5	1	1	18	6	5	3	1	5	2	4	7	1	0	1	5	7	9	10	1	3	5	0	0	7	2	0	3	13	20	0	6	1	4	5	8	0	4	12	1	3	2	10	0	2	7	4	6	0	0	0	1	0	1	5	2	0	2	1	2	1	1	0	0	1	3	2	0	6	2	5	0	8	1	2	3	12	0	4	0	3	9	4	8	4	1	5	4	9	2	8	3	8	3	3	0	3	13	10	2	0	2	2	2	7	2	10	0	8	1	1	5	5	3	3	1	0	2	1	2	7	3	102	0	3	1	19	2	1	2	13	4	1	4	1	0	2	1	2	2	2	1	5	15	8	1	2	3	7	1	27	0	0	2	3	0	8	1	2	10	4	5	3	15	1	5	30	2	0	5	7	12	1	17	9	1	6	13	3	33	1	2	0	3	3	2	1	4	2	10	1	3	4	3	3	2	0	3	2	1	1	4	0	0	1	4	0	2	0	0	4	1	2	2	1	6	0	1	4	7	3	1	0	2	7	2	2	0	14	3	2	6	4	9	1	19	0	2	0	5	13	0	1	0	5	1	10	3	1	9	0	1	4	2	3	8	4	14
Brown Family Blog	2	2	1	1	2	4	5	7	11	2	6	2	27	1	5	0	3	0	3	6	6	3	1	4	0	3	1	1	3	1	4	0	4	7	0	2	16	2	1	1	7	0	3	2	5	1	3	0	1	3	4	1	1	2	3	1	0	5	1	5	13	1	0	2	4	4	0	1	1	5	1	2	3	1	3	1	1	0	10	1	1	1	6	5	1	0	1	3	1	1	5	4	7	2	2	4	0	4	3	2	0	0	2	0	0	1	3	0	0	2	4	1	0	2	11	0	0	0	1	2	0	0	3	0	0	0	1	3	1	6	4	0	1	8	4	4	0	1	2	1	4	0	1	2	2	2	0	3	1	0	2	1	1	0	1	0	0	6	0	2	3	0	1	5	1	4	3	0	0	0	7	1	0	0	0	6	1	6	1	1	10	3	0	4	2	1	5	1	3	3	0	0	41	0	3	1	0	0	0	1	0	9	2	4	1	3	0	3	4	0	2	0	0	0	2	1	1	1	5	2	0	2	1	0	2	5	1	1	12	0	2	6	0	0	2	1	2	2	0	4	4	1	6	4	4	1	1	3	3	6	5	2	3	0	1	1	0	3	0	0	0	2	0	2	0	28	7	2	6	3	1	1	0	3	0	1	2	0	0	1	5	0	4	3	2	0	5	2	0	1	1	2	1	10	7	0	17	5	0	2	0	20	3	3	1	6	0	5	0	0	8	2	0	3	2	44	0	0	5	0	4	1	4	0	7	3	0	4	0	0	11	2	1	0	0	1	7	2	2	2	0	10	5	0	0	1	8	0	2	0	6	1	0	16	0	0	6	1	3	3	1	2	1	0	0	1	1	0	4	0	1	5	0	0	6	0	2	0	1	0	2	0	0	2	2	4	0	0	4	2	0	2	4	2	0	0	3	0	5	0	0	0	0	2	0	0	0	0	1	0	4	0	0	0	1	2	0	17	2	0	2	1	0	0	5	2	2	1	0	4	1	1	3	1	0	0	2	0	5	1	0	0	1	0	1	6	2	9	1	1	1	1	32	4	2	0	1	0	0	3	0	1	0	0	4	0	0	1	1	5	0	1	1	5	2	2	1	1	0	0	1	1	0	1	4	0	0	4	2	0	0	15	0	2	7	1	7	1	0	3	0
The Bee in Beth's Bonnet	6	3	69	5	7	4	8	1	1	11	3	2	22	0	5	4	2	13	2	6	4	5	5	2	9	2	6	4	7	4	2	5	6	16	0	4	6	40	3	7	9	10	0	3	3	5	8	9	1	8	3	3	20	4	7	7	4	6	4	6	4	9	5	9	5	9	19	6	4	5	18	13	7	25	4	5	6	3	2	23	5	3	17	4	5	14	1	4	2	6	14	8	3	8	3	6	2	3	6	8	2	2	6	2	0	2	3	2	0	4	1	0	5	3	2	6	7	6	10	0	5	7	3	4	2	2	0	7	8	4	2	7	1	10	10	1	1	5	4	25	3	1	4	7	4	6	3	1	10	6	13	2	2	3	2	1	6	2	0	3	3	3	2	0	4	3	0	2	2	3	2	7	2	10	0	2	0	1	3	5	7	5	0	1	12	10	7	4	3	8	4	2	38	5	1	6	1	2	10	6	3	17	4	2	1	3	2	2	4	6	6	8	4	2	2	11	8	0	17	0	4	1	4	5	5	2	3	8	1	2	5	2	10	1	3	7	2	3	7	9	14	5	0	2	0	1	9	0	2	6	1	12	6	5	4	18	5	1	1	7	1	10	0	8	19	5	11	5	3	3	4	1	3	0	4	2	0	8	1	7	0	0	7	4	7	2	0	3	0	4	7	8	17	3	4	6	1	2	2	0	5	30	5	7	3	2	1	1	1	4	2	5	1	1	1	32	0	3	13	0	2	2	3	1	0	3	2	4	1	5	0	19	6	7	5	16	5	3	0	1	6	13	7	7	3	4	62	7	3	0	5	24	2	3	2	4	3	11	3	0	3	2	6	4	3	4	12	2	1	1	1	4	2	1	2	6	1	0	2	2	2	7	2	6	2	6	1	5	3	2	2	7	2	0	0	0	2	2	6	6	3	4	1	2	0	4	2	7	7	2	3	18	2	5	4	0	2	5	2	1	1	4	4	1	14	10	13	7	2	3	6	5	13	9	4	0	5	2	6	9	2	5	1	5	4	1	1	19	3	6	0	8	6	0	6	7	3	1	7	18	0	2	36	5	4	2	1	9	0	2	0	32	1	12	3	4	4	2	3	2	16	1	3	113	7	3	6	3	3	4	10	12	1	10	0	8	4	4	3	1	3
A Nest Full of Squishers	2	0	12	2	4	5	12	24	10	11	11	3	12	1	27	14	4	0	10	8	4	2	11	5	5	2	0	2	5	4	8	1	2	5	0	4	3	2	4	2	1	7	4	6	5	6	7	17	1	2	13	4	4	16	2	1	19	3	2	19	26	5	2	11	2	1	6	5	2	8	6	2	12	27	9	4	3	2	6	0	15	2	19	1	6	26	5	4	2	6	3	20	5	6	1	3	5	4	9	2	3	3	1	8	3	5	12	0	12	2	44	2	0	2	10	4	4	1	4	3	2	12	1	2	10	4	3	6	9	8	9	4	2	7	6	5	2	1	7	27	6	5	3	5	2	4	9	27	8	2	4	6	4	0	0	18	5	1	2	10	7	3	8	0	6	4	4	6	9	16	4	1	4	4	3	4	3	7	14	4	17	9	0	0	1	4	9	1	2	4	2	7	10	1	3	3	0	6	3	2	0	32	8	2	5	3	5	1	10	4	3	4	3	5	9	1	1	3	19	3	3	2	6	4	1	0	2	7	2	4	3	3	20	1	2	5	6	0	7	1	1	7	4	0	6	6	2	7	3	1	3	4	1	1	3	20	18	1	2	0	1	4	2	2	1	9	2	1	4	3	2	4	2	0	2	0	44	14	4	30	4	0	3	2	0	0	7	5	1	0	1	4	4	11	1	11	4	1	0	4	4	10	5	0	2	2	5	3	0	3	3	0	3	4	2	10	2	1	8	1	24	2	3	1	4	2	0	4	1	1	4	0	14	2	4	1	19	10	3	1	0	8	2	1	2	2	7	4	1	0	2	4	6	2	1	1	8	14	2	18	2	0	4	8	1	4	1	6	1	10	3	13	5	15	1	41	1	1	1	0	4	1	7	11	10	5	0	3	1	0	4	1	4	6	2	2	3	0	7	3	5	8	0	6	0	1	2	10	4	2	6	0	1	3	1	7	1	2	0	20	2	2	11	0	7	4	10	7	0	12	0	7	3	12	1	2	1	1	3	2	1	5	0	5	5	2	8	14	2	4	0	3	1	2	2	4	0	1	4	2	0	1	5	2	10	2	7	2	6	1	1	0	4	1	2	6	3	0	5	0	4	6	2	4	1	11	1	15	0	5	0	11	0	1	5	0	8	8	0	14	1
CORFUCIUS	2	2	1	0	1	5	13	5	3	0	2	1	2	6	9	2	3	10	2	0	0	0	11	3	0	1	1	7	2	0	6	4	1	1	1	1	0	0	0	2	2	1	1	4	0	6	0	2	1	5	2	0	2	2	3	2	3	1	9	4	3	6	1	0	0	0	1	3	3	2	0	0	2	2	2	1	5	1	1	1	5	0	1	0	2	2	4	2	4	1	9	3	3	0	1	3	5	0	0	3	1	1	2	0	2	2	4	2	0	0	1	0	4	1	0	1	1	0	1	4	2	2	2	0	0	0	1	1	2	2	3	3	3	0	0	2	1	2	0	0	0	1	0	0	0	1	0	1	0	0	0	3	0	2	0	9	4	0	2	3	11	0	3	0	0	1	0	1	0	2	0	1	1	2	3	0	0	1	2	2	0	0	1	1	2	1	0	3	0	2	2	8	3	0	3	1	2	1	8	1	1	0	0	2	5	5	3	0	2	1	0	0	1	1	6	0	0	2	0	0	2	0	1	1	0	0	0	1	1	0	2	0	0	2	2	0	1	1	1	2	0	1	1	2	0	0	1	3	1	1	1	1	0	0	0	0	0	0	0	0	2	1	0	2	0	0	2	0	1	2	2	2	0	1	1	0	1	0	4	1	2	4	0	0	5	0	0	0	6	3	0	2	0	1	2	0	2	0	0	2	3	0	1	0	1	1	2	0	0	1	0	0	0	2	0	4	0	1	0	0	0	1	4	1	1	3	1	0	0	0	0	6	1	2	3	0	0	0	0	0	3	1	0	0	1	0	1	0	3	1	0	1	1	1	0	0	2	0	1	0	3	2	4	1	1	1	3	3	2	5	3	0	0	0	0	0	1	0	2	1	1	1	0	0	0	0	1	4	0	1	9	1	0	9	5	0	0	2	0	0	3	0	0	0	0	0	0	1	0	1	0	1	4	0	0	0	0	1	2	2	3	6	5	1	0	1	0	4	0	1	1	2	0	0	1	1	0	0	2	1	2	1	3	0	0	1	2	0	1	0	0	0	1	0	1	1	2	1	1	0	1	1	1	1	0	0	2	1	1	0	1	2	1	0	2	1	1	0	2	0	0	1	0	0	1	1	0	2	0	1	1	0	4	1	0	0	1	0	2	1	0
Jazzlanta	4	0	2	1	1	0	1	2	1	1	0	0	0	1	0	0	2	0	3	0	1	1	0	2	0	0	0	1	0	1	1	0	2	1	0	0	1	0	0	0	0	1	0	2	0	0	5	0	3	0	0	1	0	1	3	1	1	5	7	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	4	0	0	2	0	10	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	8	0	0	1	2	1	1	4	0	0	19	5	5	0	0	9	1	3	0	1	0	0	0	0	2	3	0	1	0	0	1	1	1	1	2	0	0	1	0	2	1	0	0	2	0	0	3	0	1	0	0	3	12	0	0	3	2	3	2	1	0	0	2	0	1	0	0	2	1	1	0	1	0	1	0	2	1	0	0	0	0	0	0	0	3	1	2	3	0	0	1	5	0	0	0	0	0	1	1	2	1	0	0	0	1	0	0	1	0	1	4	1	0	0	0	1	2	5	0	0	0	0	1	4	4	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	6	0	3	6	0	0	2	1	0	0	1	1	1	0	4	1	0	0	6	1	1	3	0	0	0	0	0	0	2	1	8	1	35	0	0	0	0	1	0	0	1	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	1	0	5	0	0	1	14	0	0	0	0	2	0	0	2	1	1	1	0	15	0	1	0	0	1	0	1	0	2	3	1	0	3	2	1	0	2	1	1	0	0	0	1	4	1	0	0	0	0	1	0	0	0	0	0	1	3	0	2	0	0	0	0	0	5	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	1	0	1	1	0	0	3	0	1	0	0	3	1	8	0	4	10	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	1	3	2	0	2	0	0	0	1	0	1	3	0	9	0	0	0	4	0	0	0	1	0	0	0	0	0	2	2	1	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	3	0	1	0	3	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	5	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	6
Guitar Talk @ Jason's Blog	0	0	2	0	1	1	5	0	3	2	1	3	2	3	0	1	2	6	0	1	1	4	0	1	0	0	2	8	0	1	0	0	0	0	1	0	5	1	0	2	1	3	0	0	1	1	2	0	0	1	1	0	0	0	1	2	3	4	2	0	0	0	1	0	0	0	7	0	6	1	1	1	1	2	5	0	2	1	0	1	1	1	2	2	2	0	0	2	1	0	1	1	1	1	6	4	5	3	2	0	1	1	0	0	4	2	0	0	10	1	8	1	1	12	0	5	0	3	0	0	1	1	1	1	0	0	0	0	0	2	1	1	8	0	0	6	2	0	2	0	0	3	1	0	0	1	0	0	0	1	1	1	0	0	1	4	3	1	1	3	1	0	2	1	3	1	1	1	0	6	1	2	3	0	2	0	6	2	2	1	0	1	4	3	0	3	1	0	0	1	1	4	0	0	0	0	1	2	1	1	0	1	2	3	0	1	0	0	2	0	1	0	2	2	1	10	2	0	0	0	3	8	4	2	0	0	0	0	0	2	0	0	1	5	1	1	0	5	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	6	0	0	0	1	5	7	0	1	5	1	1	2	0	3	1	0	0	1	2	12	2	0	1	1	0	0	2	2	0	0	2	0	0	1	3	0	0	0	0	1	2	0	0	0	1	1	0	1	2	0	7	0	0	1	0	4	2	0	9	0	0	1	1	4	0	0	0	1	0	0	4	1	0	0	3	1	0	0	0	0	3	0	0	0	0	2	1	5	0	3	1	0	0	0	1	1	0	1	0	0	1	0	3	0	0	4	0	10	1	0	2	3	0	0	0	1	0	0	0	10	1	1	0	0	1	0	1	0	0	0	0	0	0	6	1	3	0	2	0	0	8	0	1	5	1	0	0	0	1	0	7	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	6	0	0	0	1	0	0	4	0	0	2	0	1	0	2	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	3	0	0	0	5	0	0	1	4	1	0	0	0	0	0	3	1	0	0	63	0	2	0	0	0	0	0	1	1	2	0	0	0	1	0	2	1	0	0
blatherskite.	1	2	0	0	2	0	0	0	2	2	3	1	1	0	0	2	0	3	0	2	2	0	4	2	2	1	1	5	0	0	3	1	2	1	0	1	4	6	2	2	0	1	0	1	2	2	2	1	1	6	0	1	3	1	3	6	3	0	1	3	4	0	0	0	5	1	1	1	2	3	0	4	3	2	0	2	0	0	1	3	3	9	0	3	0	1	1	2	4	0	1	2	2	1	5	3	0	0	1	1	0	1	2	3	1	2	1	1	3	0	0	0	0	5	1	1	3	1	1	3	1	1	3	1	0	1	5	1	2	0	0	0	1	4	2	2	0	0	1	1	2	0	0	1	0	0	3	0	3	11	1	2	2	3	0	5	1	3	6	2	1	2	0	4	2	0	0	5	2	9	2	1	1	1	2	1	4	1	0	0	5	1	0	1	0	1	0	0	5	1	0	1	8	2	1	4	2	0	0	2	3	21	1	0	1	2	3	2	1	0	2	0	0	0	1	1	0	2	0	1	1	1	2	4	0	2	1	0	3	0	0	0	39	5	0	3	1	2	0	4	1	0	0	1	2	2	2	1	2	6	0	1	4	1	1	0	1	1	1	0	10	1	1	1	0	2	2	4	1	1	2	2	1	4	3	1	0	1	0	0	1	10	1	1	2	2	0	2	2	2	1	4	2	3	2	4	3	6	0	2	1	2	1	1	7	4	3	3	0	4	0	2	1	3	0	10	0	2	0	2	0	1	1	10	0	0	2	0	0	1	1	2	0	2	1	2	1	2	3	1	0	0	1	2	1	1	3	1	1	2	0	1	0	0	2	0	1	0	4	9	0	1	1	2	2	3	1	1	0	0	2	0	1	0	5	0	2	1	1	3	0	1	3	3	3	2	0	2	0	7	0	0	4	4	1	0	0	3	1	2	0	1	1	0	0	2	0	5	1	1	1	0	0	2	5	2	3	1	6	0	1	2	0	0	0	1	0	0	6	1	1	10	2	2	1	2	0	4	0	8	4	0	0	1	0	2	1	3	0	1	3	1	2	1	7	0	9	1	1	1	1	0	0	1	4	1	0	2	3	1	0	1	1	0	4	0	1	3	1	2	0	6	1	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0
Gibbons Family	0	2	12	2	2	11	1	2	11	2	1	1	2	4	0	1	4	0	13	8	6	0	0	6	1	14	5	0	2	1	4	4	8	11	0	3	3	3	10	0	5	7	10	12	51	0	8	1	1	5	1	3	0	3	2	1	3	3	3	13	43	3	0	3	12	3	0	8	2	1	0	2	1	8	0	4	3	3	55	0	2	0	5	1	2	1	5	0	5	0	3	3	3	3	7	3	0	3	8	7	0	5	2	1	1	0	2	2	1	4	1	2	0	2	6	3	2	2	2	0	1	0	2	3	0	3	4	4	6	7	5	1	0	6	2	2	0	2	2	3	1	1	10	0	1	3	5	12	3	5	3	0	9	0	4	1	1	8	12	3	1	2	3	13	2	3	1	0	11	0	5	3	1	0	1	2	6	7	1	2	2	2	1	3	3	3	11	3	1	1	0	4	47	0	1	5	0	3	1	0	0	1	6	22	8	0	0	2	4	1	7	2	1	0	0	3	4	6	10	3	0	1	1	0	0	8	1	4	4	8	3	3	1	0	0	2	6	1	29	1	3	2	3	1	14	1	0	1	4	9	11	6	3	1	1	0	30	18	3	4	2	2	0	4	2	1	3	3	6	0	3	4	0	0	1	4	4	3	0	4	1	1	0	1	1	4	0	2	0	0	2	2	0	3	2	4	13	8	15	3	0	5	3	2	1	20	0	3	0	1	4	2	1	0	4	30	3	2	11	6	7	3	2	0	21	0	0	2	0	5	1	0	1	0	1	0	0	4	4	1	1	2	1	8	1	2	5	0	1	1	6	3	1	2	0	2	0	0	4	23	5	0	1	3	2	0	3	0	0	2	3	0	0	0	52	5	2	2	0	0	5	2	2	0	2	2	4	1	2	1	0	1	6	1	0	5	1	1	1	0	3	2	0	0	112	0	3	3	1	1	0	3	0	15	2	2	7	1	1	2	3	1	0	0	1	0	2	3	1	1	1	4	0	4	0	1	0	1	3	5	2	1	2	4	1	3	1	0	3	0	1	1	17	5	16	0	0	8	1	0	3	4	1	0	2	2	5	4	6	1	3	0	6	0	1	3	4	3	2	1	0	2	1	0	2	0	0	0	2	0	1	22	1	2	5	0	0	12	0	0	0
J's Indie/Rock Mayhem	2	0	2	1	1	1	1	3	0	0	0	1	3	4	1	0	1	1	33	11	5	3	0	2	0	1	2	2	0	0	0	2	2	8	3	0	1	1	1	5	1	8	3	40	3	5	1	0	10	1	0	2	0	3	11	0	4	0	0	0	0	2	0	8	2	1	0	3	1	0	0	1	0	1	0	4	2	1	0	1	0	0	1	0	0	0	4	0	0	1	0	2	1	0	1	0	0	1	0	0	1	1	1	5	4	1	0	0	18	4	8	1	1	11	0	3	2	2	0	1	3	0	0	5	1	0	4	1	2	0	1	4	12	0	2	2	2	0	3	0	0	4	1	0	0	2	0	1	1	1	2	1	0	2	2	1	3	0	0	0	14	2	1	3	1	2	0	4	0	1	0	2	0	2	1	0	1	0	1	0	0	3	1	0	3	6	0	6	0	0	7	3	0	5	2	2	3	0	4	2	0	2	0	0	0	2	0	0	33	4	0	1	2	0	3	65	1	2	1	1	0	10	13	0	1	0	3	1	1	0	0	0	5	15	0	0	42	2	0	0	4	38	13	1	18	2	1	0	0	0	0	0	0	2	1	3	0	3	1	0	0	0	5	0	1	0	0	4	0	3	3	2	0	5	1	16	0	1	5	1	1	3	1	0	3	2	13	1	5	2	1	0	3	0	1	0	0	2	0	2	0	0	2	3	0	0	0	0	0	1	0	1	3	0	4	2	27	0	1	2	0	0	0	0	0	0	0	2	53	2	0	1	1	5	0	4	1	1	1	3	13	659	6	0	1	1	0	2	3	2	0	0	3	6	1	2	3	1	0	0	6	55	0	2	0	0	0	2	0	1	0	0	1	0	0	1	1	1	10	2	5	0	1	1	3	0	2	3	2	0	7	3	1	7	91	1	0	1	0	2	0	0	0	0	6	0	1	1	3	0	2	0	5	8	2	1	2	0	5	0	1	2	2	3	0	1	1	0	0	0	3	0	0	0	11	2	0	0	0	0	1	2	1	5	1	4	0	0	2	0	0	1	0	0	7	1	0	0	6	0	0	9	1	0	0	0	9	2	0	2	2	0	0	4	7	1	1	0	6	1	0	2	0	1	1	1	0	0	0	1	0	0	3	3	0	0	2	2	0	0	13
Kitty's kept sedated	18	0	0	3	2	0	14	9	1	1	6	2	3	6	2	16	3	15	2	0	3	3	8	2	4	5	4	5	5	4	0	6	1	3	5	1	2	7	3	9	8	0	16	9	10	0	0	2	4	6	11	0	3	2	2	16	0	1	4	9	0	2	4	1	3	6	1	1	9	2	3	2	1	1	6	3	3	5	1	3	1	6	6	3	14	4	8	9	2	2	2	4	0	1	2	2	7	2	2	2	33	0	1	9	1	4	1	6	6	2	27	1	8	7	1	3	0	2	1	4	5	4	2	9	6	2	0	0	2	0	4	1	9	1	5	1	8	23	5	3	1	9	0	6	0	3	4	1	0	1	5	0	1	3	4	7	0	3	3	2	9	4	4	3	1	5	1	13	4	3	0	0	14	0	1	0	0	0	0	10	1	2	3	2	10	10	0	6	1	5	0	5	1	5	1	1	3	11	2	8	0	3	4	2	2	2	7	3	1	1	0	3	4	5	8	2	8	4	1	3	3	7	0	2	1	2	2	2	0	3	0	1	0	3	4	6	1	0	3	2	1	2	5	1	2	0	6	7	0	1	0	2	1	12	4	0	0	1	1	7	15	1	2	4	2	2	0	2	1	1	3	7	17	3	3	0	2	2	6	6	10	33	0	0	0	11	3	14	14	4	0	6	3	0	15	1	2	2	4	0	3	1	4	2	6	7	0	5	3	12	0	4	19	4	6	4	6	3	1	0	0	3	3	8	1	2	11	7	2	3	0	13	2	5	2	1	2	1	2	4	3	12	0	0	6	2	0	1	5	1	2	4	1	0	4	3	2	5	18	1	2	7	2	5	5	9	1	3	0	12	4	2	0	7	0	5	5	3	3	7	5	2	1	0	0	4	4	2	0	1	1	5	1	7	92	20	3	1	1	3	4	3	1	1	4	7	9	1	5	1	0	4	10	2	14	2	1	0	3	7	5	3	1	1	0	1	0	6	1	0	4	2	1	6	3	11	5	8	0	2	2	1	5	1	0	0	0	0	5	7	0	3	0	1	1	1	8	2	0	9	6	9	3	6	5	2	0	8	0	0	26	4	1	6	0	0	1	5	2	2	0	2	5	1	0	4	2	8	1	13	4	5	5	3	5	2	0	2	3	2	4
